gadm,poll_unit,atlas,old_mapit,pombola,MapIt State Name,MapIt Name,MapIt ID,EP area ID,EP area name
,,ISEYIN/ITESIWAJU/KAJOLA/IWAJOWA,Iseyin/ Itesiwasu / Kajola / Iwajowa,Iseyin/Itesiwasu/Kajola/Iwajowa,Oyo,ISEYIN/ITESIWAJU/KAJOLA/IWAJOWA,1037,"area/iseyin/itesiwaju/kajola/iwajowa,_oyo_state","Iseyin/Itesiwaju/Kajola/Iwajowa, Oyo State"
,,Askira-Uba/Hawul,Askira /Uba / Hawul,Askira /Uba / Hawul,Borno,Askira-Uba/Hawul,1131,"area/askira-uba/hawul,_borno_state","Askira-Uba/Hawul, Borno State"
,,LAFIA/OBI,Lafia  / Obi,Lafia/Obi,Nassarawa,LAFIA/OBI,971,"area/lafia/obi,_nassarawa_state","Lafia/Obi, Nassarawa State"
,,BOOSO/PAIKORO,Bosso/Paikoro,Bosso/Paikoro,Niger,BOOSO/PAIKORO,1065,"area/bosso/paikoro,_niger_state","BOSSO/PAIKORO, Niger State"
,,,,Wase,Plateau,Wase,1163,"area/wase,_plateau_state","Wase, Plateau State"
,,Zaria Federal,Zaria,Zaria,Kaduna,Zaria Federal,1128,"area/zaria_federal,_kaduna_state","Zaria Federal, Kaduna State"
,,ONDO WEST/ONDO EAST,ONDO EAST/WEST,Ondo East/Ondo West,Ondo,ONDO WEST/ONDO EAST,1171,"area/ondo_east/ondo_west,_ondo_state","Ondo East/Ondo West, Ondo State"
,,Oju/Obi,Oju / Obi,Oju/Obi,Benue,Oju/Obi,1068,"area/oju/obi,_benue_state","Oju/Obi, Benue State"
,,Aguta,Aguata,Aguata,Anambra,Aguta,1200,"area/aguta,_anambra_state","Aguta, Anambra State"
,,ODEDA/OBAFEMI-OWODE/ABEOKUTA NORTH,Abeokuta North / Obafemi Owode & Odeda Fed. Const.,Abeokuta North/ Obafemi- Owode/Odeda,Ogun,ODEDA/OBAFEMI-OWODE/ABEOKUTA NORTH,1041,"area/abeokuta_north/_obafemi-_owode/odeda,_ogun_state","Abeokuta North/ Obafemi- Owode/Odeda, Ogun State"
,,SURULERE II,Surulere Fed. Const. II,Surulere II,Lagos,SURULERE II,1184,"area/surulere_ii,_lagos_state","Surulere II, Lagos State"
,,BAGUDO/SURU,Bagudo / Suru,Bagudo/Suru,Kebbi,BAGUDO/SURU,1210,"area/bagudo/suru,_kebbi_state","Bagudo/Suru, Kebbi State"
,,Apa/Aguta,APA/AGATU,Apa/Agatu,Benue,Apa/Aguta,1153,"area/apa/agatu,_benue_state","Apa/Agatu, Benue State"
,,SAKI EAST/ SAKI WEST/ ATISBO,Saki East/West/Atisbo,Saki East/Saki West/Atigbo,Oyo,SAKI EAST/ SAKI WEST/ ATISBO,965,"area/atisbo/saki_east/saki_west,_oyo_state","Atisbo/Saki East/Saki West, Oyo State"
,,Kazaure/Roni/Gwiwa/Yankwashi,Kazaure/Roni Gwiwa,Kazaure/Roni/Gwiwa/Yankwashi,Jigawa,Kazaure/Roni/Gwiwa/Yankwashi,1207,"area/kazaure/roni/gwiwa/yankwashi,_jigawa_state","Kazaure/Roni/Gwiwa/Yankwashi, Jigawa State"
,,PANKSHIN/KANAM/ KANKE,PANKSHIN/KANKE/KANAM,Kanke/Pankshin/Kanam,Plateau,PANKSHIN/KANAM/ KANKE,1251,"area/pankshin/kanke/kanam,_plateau_state","Pankshin/Kanke/Kanam, Plateau State"
,,OKRIKA/OGU-BOLO,Okrika / Ogu / Bolo,Okrika/Ogu-Bolo,Rivers,OKRIKA/OGU-BOLO,1221,"area/okrika/ogu-bolo,_rivers_state","Okrika/Ogu-Bolo, Rivers State"
