gadm,poll_unit,atlas,old_mapit,pombola,MapIt State Name,MapIt Name,MapIt ID,EP area ID,EP area name
,,,,Eti-Osa,Lagos,Eti-Osa,925,"area/eti-osa,_lagos_state","Eti-Osa, Lagos State"
,,,,Bursari/Geidam/Yunusari,Yobe,Bursari/Geidam/Yunusari,1273,"area/bursari/geidam/yunusari,_yobe_state","Bursari/Geidam/Yunusari, Yobe State"
,,AHOADA WEST/OGBA/EGBEMA/INDONI,Ogba/Egbema/Ndoni/Ahoada West,Ahoada West/Ogba Egbema Ndoni,Rivers,AHOADA WEST/OGBA/EGBEMA/INDONI,1193,"area/ahoada_west/ogba_egbema,_rivers_state","Ahoada West/Ogba Egbema, Rivers State"
,,DEKINA/BASSA,Bassa / Dekina,Bassa/Dekina,Kogi,DEKINA/BASSA,1097,"area/dekina/bassa,_kogi_state","Dekina/Bassa, Kogi State"
,,,,Adavi/Okehi,Kogi,ADAVI/OKEHI,1139,"area/adavi/okehi,_kogi_state","Adavi/Okehi, Kogi State"
,,AYEDIRE/IWO/OLA-OLUWA,Ayedire / Iwo / Ola-Oluwa,Ayedire/Iwo/Ola-Oluwa,Osun,AYEDIRE/IWO/OLA-OLUWA,1172,"area/ayedire/iwo/ola-oluwa,_osun_state","Ayedire/Iwo/Ola-Oluwa, Osun State"
,,AGWARA/BORGU,Agwara / Borgu,Agwara/Borgu,Niger,AGWARA/BORGU,1124,"area/agwara/borgu,_niger_state","Agwara/Borgu, Niger State"
,,Mubi North/Mu South/Maiha,Mubi North / Mubi South / Maiha,Maiha/Mubi North/Mubi South,Adamawa,Mubi North/Mu South/Maiha,1149,"area/mubi_n/mu_s/maiha,_adamawa_state","Mubi N/Mu S/Maiha, Adamawa State"
,,,,Abakaliki/Izzi,Ebonyi,Abakaliki/Izzi,1091,"area/abakaliki/izzi,_ebonyi_state","Abakaliki/Izzi, Ebonyi State"
,,,,Bomadi/Patani,Delta,Bomadi/Patani,1014,"area/bomadi/patani,_delta_state","Bomadi/Patani, Delta State"
,,BAKORI/DANJA,Bakoro/Danja,Bakoro/Danja,Katsina,BAKORI/DANJA,1098,"area/bakori/danja,_katsina_state","Bakori/Danja, Katsina State"
,,,,Shira/Giade,Bauchi,Shira/Giade,1152,"area/shira/giade,_bauchi_state","Shira/Giade, Bauchi State"
,,,,Irepo/Orelope/Olorunsogo,Oyo,Irepo/Orelope/Olorunsogo,1159,"area/olurunsogo/oorelope,_oyo_state","Olurunsogo/Oorelope, Oyo State"
,,,,Bade/Jakusko,Yobe,Bade/Jakusko,924,"area/bade/jakusko,_yobe_state","Bade/Jakusko, Yobe State"
,,ISA/SABON BIRNI,Isa/S.Birni,Isa/Sabon Birni,Sokoto,ISA/SABON BIRNI,1080,"area/isa-sabon-birni,_sokoto_state","Isa-Sabon-Birni, Sokoto State"
,,,,Igboeze North/Udenu,Enugu,Igboeze North/Udenu,1101,"area/igboeze_north/udenu,_enugu_state","Igboeze North/Udenu, Enugu State"
,,,,Afikpo North/Afikpo South,Ebonyi,Afikpo North/Afikpo South,1043,"area/afikpo_north/afikpo_south,_ebonyi_state","Afikpo North/Afikpo South, Ebonyi State"
,,,,Makarfi/Kudan,Kaduna,Makarfi/Kudan,947,"area/makarfi/kudan,_kaduna_state","Makarfi/Kudan, Kaduna State"
,,BOLUWADURO/IFEDAYO/ILA,Boluwaduro / Ifedayo / Ila,Boluwaduro/Ifedayo/Ila,Osun,BOLUWADURO/IFEDAYO/ILA,961,"area/boluwaduro/ifedayo/illa,_osun_state","Boluwaduro/Ifedayo/Illa, Osun State"
,,Idemili North/South,Idemili North/Idemili South,Idemili North/Idemili South,Anambra,Idemili North/South,1224,"area/idemili_north/south,_anambra_state","Idemili North/South, Anambra State"
,,EKITI/IREPODUN/ISIN/OKE-ERO,Isin/Irepodun/Ekiti & Oke-Ero,Ekiti/Isin/Irepodun/Oke-Ero,Kwara,EKITI/IREPODUN/ISIN/OKE-ERO,1167,"area/ekiti/isin/irepodun/oke-ero,_kwara_state","Ekiti/Isin/Irepodun/Oke-ero, Kwara State"
,,,,Nangere/Potiskum,Yobe,Nangere/Potiskum,1178,"area/nangere/potiskum,_yobe_state","Nangere/Potiskum, Yobe State"
,,,,Orhionmwon/Uhunmwode,Edo,Orhionmwon/Uhunmwode,1069,"area/orhionmwon/uhunmwode,_edo_state","Orhionmwon/Uhunmwode, Edo State"
,,,,Gezawa/Gabasawa,Kano,Gezawa/Gabasawa,1011,"area/gezawa/gabasawa,_kano_state","Gezawa/Gabasawa, Kano State"
,,IREPODUN/OLORUNDA/OSOGBO/OROLU,Irepodun / Olorunda / Orolu / Osogbo,Irepodun/Olorunda/Orolu/Osogbo,Osun,IREPODUN/OLORUNDA/OSOGBO/OROLU,1119,"area/irepodun/olurunda/osogbo/orolu,_osun_state","Irepodun/Olurunda/Osogbo/Orolu, Osun State"
,,,,Bali/Gassol,Taraba,Bali/Gassol,921,"area/bali/gassol,_taraba_state","Bali/Gassol, Taraba State"
,,ALIERO/GWANDU/JEGA,Aliero,Aleiro/Gwandu/Jega,Kebbi,ALIERO/GWANDU/JEGA,1105,"area/gwandu/aliero/jega,_kebbi_state","Gwandu/Aliero/Jega, Kebbi State"
,,SHIRORO/RAFI/MUNYA,MUNYA/RAFI/SHIRORO,Shiroro/Rafi/Munya,Niger,SHIRORO/RAFI/MUNYA,1135,"area/shiroro/rafi/munya,_niger_state","Shiroro/Rafi/Munya, Niger State"
,,Ganye/Mayo Belwa/Toungo/JADA,Mayo Belwa/Jada/Ganye/Toongo,Mayo Belwa/Ganye/Jada /Toungo,Adamawa,Ganye/Mayo Belwa/Toungo/JADA,1162,"area/jada/ganye/mayo_belwa/toungo,_adamawa_state","Jada/Ganye/Mayo Belwa/Toungo, Adamawa State"
,,ADO EKITI/IREPODUN/IFELODUN,ADO EKITI/IREPODUN-IFELODUN,Ado Ekiti/Irepodun/Ifelodun,Ekiti,ADO EKITI/IREPODUN/IFELODUN,987,"area/ado_ekiti/irepodun-ifelodun,_ekiti_state","Ado Ekiti/Irepodun-Ifelodun, Ekiti State"
,,OKENE/OGORI MAGONGO,OKENE/OGORI-MAGONGO,Okene/Ogori-Magogo,Kogi,OKENE/OGORI MAGONGO,1165,"area/okene/ogori-magogo,_kogi_state","Okene/Ogori-Magogo, Kogi State"
,,ARDO-KOLA/LAU/KARIM-LAMIDO,Lau/K/Lamido/Ardo-Kola,Karim Lamido/Lau/Ardo-Kola,Taraba,ARDO-KOLA/LAU/KARIM-LAMIDO,955,"area/lau/k/lamido/ardo-kola,_taraba_state","Lau/K/Lamido/Ardo-Kola, Taraba State"
,,SHOMOLU,Somolu,Somolu,Lagos,SHOMOLU,1199,"area/somolu,_lagos_state","Somolu, Lagos State"
,,,,Ajaokuta,Kogi,Ajaokuta,1063,"area/ajaokuta,_kogi_state","Ajaokuta, Kogi State"
,,IBADAN NORTH EAST/IBADAN SOUTH EAST,Ibadan N.East / South East,Ibadan North East/Ibadan South East,Oyo,IBADAN NORTH EAST/IBADAN SOUTH EAST,1146,"area/ibadan_north-_east/south-_east,_oyo_state","Ibadan North- East/South- East, Oyo State"
,,,,Chanchaga,Niger,Chanchaga,996,"area/chanchaga,_niger_state","Chanchaga, Niger State"
,,LAGOS ISLAND I,LagosIsland I Federal Constituency,Lagos Island I,Lagos,LAGOS ISLAND I,1038,"area/lagos_island_i,_lagos_state","Lagos Island I, Lagos State"
,,Ikwo/Ezza South,IKwo / Ezza South,Ezza South/Ikwo,Ebonyi,Ikwo/Ezza South,1036,"area/ikwo/ezza_south,_ebonyi_state","Ikwo/Ezza South, Ebonyi State"
,,Isiala Ngwa North/South,Isala Ngwa North/south,Isiala Ngwa North /Isiala Ngwa South,Abia,Isiala Ngwa North/South,1225,"area/isiala_ngwa_north/south,_abia_state","Isiala Ngwa North/South, Abia State"
,,,,Otukpo/Ohimini,Benue,OTUKPO/OHIMINI,1196,"area/otukpo/ohimini,_benue_state","Otukpo/Ohimini, Benue State"
,,Kumbosto,Kumbotso,Kumbotso,Kano,Kumbosto,1006,"area/kumbosto,_kano_state","Kumbosto, Kano State"
,,SULEJA/TAFA/GURARA,Gurara/Suleja/Tafa,Gurara/Suleja/Tafa,Niger,SULEJA/TAFA/GURARA,1164,"area/gurara/suleja/tafa,_niger_state","Gurara/Suleja/Tafa, Niger State"
,,TAKUM/DONGA/USSA,Donga/Ussa/Takum/Special Area,Takum/Donga/Ussa,Taraba,TAKUM/DONGA/USSA,1175,"area/donga/ussa/takum/special_area,_taraba_state","Donga/Ussa/Takum/Special Area, Taraba State"
,,MOKWA/LAVUN/EDATI,Lavvn/Edati/Mokwa,Lavun/Mokwa/Edati,Niger,MOKWA/LAVUN/EDATI,939,"area/lavun/mokwa/edati,_niger_state","Lavun/Mokwa/Edati, Niger State"
,,,,Shanono/Bagwai,Kano,Bagwai/Shanono,1261,"area/bagwai/shanono,_kano_state","Bagwai/Shanono, Kano State"
,,,,Epe,Lagos,EPE,1029,"area/epe,_lagos_state","Epe, Lagos State"
,,Sule-Tankarkar/Gagarawa/Maigatari/Gumel,Tankarkar/Gagarawa,Gumel/Maigatari/Sule Tankarkar/Gagarawa,Jigawa,Sule-Tankarkar/Gagarawa/Maigatari/Gumel,935,"area/gumel/maigatari/sule_tankarkar/gagarawa,_jigawa_state","Gumel/Maigatari/Sule Tankarkar/Gagarawa, Jigawa State"
,,Damboa/Gwoza/Chibok,Damibo'a / Chibok/ Gwoza,Damboa/Gwoza/Chibok,Borno,Damboa/Gwoza/Chibok,1051,"area/damboa/gwoza/chibok,_borno_state","Damboa/Gwoza/Chibok, Borno State"
,,Owan West/East,Owan East / West,Owan East/Owan West,Edo,Owan West/East,1047,"area/owan_west/east,_edo_state","Owan West/East, Edo State"
,,,,Anambra East/Anambra West,Anambra,Anambra East/West,1228,"area/anambra_east/west,_anambra_state","Anambra East/West, Anambra State"
,,,,Burutu,Delta,Burutu,1254,"area/burutu,_delta_state","Burutu, Delta State"
,,Ehimembano/Ihitte Uboma/Obowo,Ehime-Mb/Ihitte/U/OBONO,Ehime Mbano/Ihite-Uboma/ Obowo,Imo,Ehimembano/Ihitte Uboma/Obowo,1231,"area/ehimembano/ihitte_uboma/obowo,_imo_state","Ehimembano/ihitte Uboma/Obowo, Imo State"
,,Aboh Mbaise/Ngor Okpala,Aboh Mbaise/Ngor Okpala Federal Consistuency,Aboh Mbaise/Ngor Okpala,Imo,Aboh Mbaise/Ngor Okpala,1234,"area/aboh_mbaise/ngor_okpala,_imo_state","Aboh Mbaise/Ngor Okpala, Imo State"
,,APAPA,Apapa Federal Constituency,Apapa,Lagos,APAPA,958,"area/apapa,_lagos_state","Apapa, Lagos State"
,,Eket/Onna/Esit/eket/ibeno,Eket/Onna/Esit Eket/Ibeno,Eket/Onna/Esit Eket/Ibeno,Akwa Ibom,Eket/Onna/Esit/eket/ibeno,1208,"area/eket/onna/esit_eket/ibeno,_akwa_ibom_state","Eket/Onna/Esit Eket/Ibeno, Akwa Ibom State"
,,Birnin-Gwari/Giwa,Giwa/Birnin-Gwari,Birnin Gwari/Giwa,Kaduna,Birnin-Gwari/Giwa,993,"area/birnin-gwari/giwa,_kaduna_state","Birnin-Gwari/Giwa, Kaduna State"
,,ILEOLUJI - OKEIGBO /ODIGBO,Ile - Oluji/Okeigbo & Odigbo,Ileoluji/Okeigbo/Odigbo,Ondo,ILEOLUJI - OKEIGBO /ODIGBO,1155,"area/ileoluji-okeibo/odigbo,_ondo_state","Ileoluji-Okeibo/Odigbo, Ondo State"
,,SHENDAM/MIKANG/QUA'AN-PAN,SHENDAMMIKANG/QUAANPAN,Mikang/Qua’an/Pan/Shedam,Plateau,SHENDAM/MIKANG/QUA'AN-PAN,942,"area/mikang/quan.pan/shendam,_plateau_state","Mikang/Quan.Pan/Shendam, Plateau State"
,,,,Arewa/Dandi,Kebbi,Arewa/Dandi,931,"area/arewa/dandi,_kebbi_state","Arewa/Dandi, Kebbi State"
,,IDANRE/IFEDORE,Idanre / Ifedore,Idanre/Ifedore,Ondo,IDANRE/IFEDORE,1000,"area/idanre/ifedore,_ondo_state","Idanre/Ifedore, Ondo State"
,,ODO-OTIN/IFELODUN/BORIPE,Osun Central II (Odo-Otin / Ifelodun / Boripe,Odo-Otin/Ifelodun/Boripe,Osun,ODO-OTIN/IFELODUN/BORIPE,1158,"area/odo-otin/ifelodun/boripe,_osun_state","Odo-Otin/Ifelodun/Boripe, Osun State"
,,MASHI/DUTSI,Mashi/Dutsi Constituency,Mashi/Dutsi,Katsina,MASHI/DUTSI,1073,"area/mashi/dvisi,_katsina_state","Mashi/Dvisi, Katsina State"
,,Owerri Municipal/Owerri North/West,OWERRI MINICIPAL/NORTH/WEST,Owerri Municipal/Owerri North/Owerri West,Imo,Owerri Municipal/Owerri North/West,1257,"area/owerri_municipal/owerri_north/west,_imo_state","Owerri Municipal/Owerri North/West, Imo State"
,,WUKARI/IBI,Ibi/Wukari,Ibi/Wukari,Taraba,WUKARI/IBI,950,"area/ibi/wukari,_taraba_state","Ibi/Wukari, Taraba State"
,,,,Sardauna/Kurmi/Gashaka,Taraba,Gashaka/Kurmi/Sardauna,938,"area/gashaka/kurmi/sardauna,_taraba_state","Gashaka/Kurmi/Sardauna, Taraba State"
,,,,Demsa/Numan/Lamurde,Adamawa,Demsa/Numan/Lamurde,1190,"area/demsa/numan/lamurde,_adamawa_state","Demsa/Numan/Lamurde, Adamawa State"
,,,,Gwaram,Jigawa,Gwaram,1121,"area/gwaram,_jigawa_state","Gwaram, Jigawa State"
,,Katsina-Ala/Ukum/Logo,Katsina-Ala Ukum Logo,Katsina-Ala/Ukum/Logo,Benue,Katsina-Ala/Ukum/Logo,1253,"area/katsina-ala/ukum/logo,_benue_state","Katsina-Ala/Ukum/Logo, Benue State"
,,EGBEDA/ONA-ARA,Egbeda/ Ona-Ara,Egbeda/ Ona-Ara,Oyo,EGBEDA/ONA-ARA,1039,"area/ona-ara/egbeda,_oyo_state","Ona-Ara/Egbeda, Oyo State"
,,,,Jahun/Miga,Jigawa,Jahun/Miga,1013,"area/jahun/miga,_jigawa_state","Jahun/Miga, Jigawa State"
,,,,Lere,Kaduna,Lere,936,"area/lere,_kaduna_state","Lere, Kaduna State"
,,IBEJU-LEKKI,IJEBU - LEKKI,Ibeju Lekki,Lagos,IBEJU-LEKKI,1130,"area/ibeju-lekki,_lagos_state","Ibeju-Lekki, Lagos State"
,,MUSHIN I,Mushin I Federal Constituency,Mushin I Federal Constituency,Lagos,MUSHIN I,1126,"area/mushin_i,_lagos_state","Mushin I, Lagos State"
,,Birniwa/Guri/Kiri-Kasamma,BIRNIWA/GURI/KIRIKASAMMA,Birniwa/Guri/Kirikasamma,Jigawa,Birniwa/Guri/Kiri-Kasamma,1151,"area/birniwa/guri/kiri-kasamma,_jigawa_state","Birniwa/Guri/Kiri-Kasamma, Jigawa State"
,,Nsukka/ Igboeze South,Nsukka/Igboeze,Nsukka/Igbo-Eze South,Enugu,Nsukka/ Igboeze South,1192,"area/nsukka/igbo-eze_south,_enugu_state","Nsukka/Igbo-Eze South, Enugu State"
,,Chikun/Kajuru,Kajuru/Chikum,Chikun/Kajuru,Kaduna,Chikun/Kajuru,1118,"area/chikum/kajuru,_kaduna_state","Chikum/Kajuru, Kaduna State"
,,EKITI SOUTH WEST/IKERE/ORUN ISE,Ekiti South West/IKERE/ISE -ORUN,Ekiti South West/Ikere/Orun/Ise,Ekiti,EKITI SOUTH WEST/IKERE/ORUN ISE,1147,"area/ekiti_south_west/ikere/ise/orun,_ekiti_state","Ekiti South West/Ikere/Ise/Orun, Ekiti State"
,,,,Ilorin West/Asa,Kwara,Ilorin West/Asa,984,"area/asa/ilorin_west,_kwara_state","Asa/Ilorin West, Kwara State"
,,KABBA-BUNU/IJUMU,KABBA-BUNU/IJIMU,Ijumu/Kabba-Bunu,Kogi,KABBA-BUNU/IJUMU,1198,"area/kabba/bunu/ijumu,_kogi_state","Kabba/Bunu/Ijumu, Kogi State"
,,,,Gummi/Bukkuyum,Zamfara,Gummi/Bukkuyum,1001,"area/gummi/bukkuyum,_zamfara_state","Gummi/Bukkuyum, Zamfara State"
,,,,Bauchi,Bauchi,Bauchi,1182,"area/bauchi,_bauchi_state","Bauchi, Bauchi State"
,,MACHINA/ NGURU/ KARASUWA/YUSUFARI,Machina/Nguru/Karasuwa/Yusufari,Machina/Nguru/Yusufari/Karasuwa,Yobe,MACHINA/ NGURU/ KARASUWA/YUSUFARI,1201,"area/machina/nguru/karasuwa/yusufari,_yobe_state","Machina/Nguru/Karasuwa/Yusufari, Yobe State"
,,Ndokwa/Ukwani,Ndokwa East/Ndokwa,Ndokwa East/Ndokwa West/Ukwuani,Delta,Ndokwa/Ukwani,1045,"area/ndokwa/ukwani,_delta_state","Ndokwa/Ukwani, Delta State"
,,ILORIN SOUTH/ EAST,Ilorin East/Ilorin South,Ilorin East/Ilorin South,Kwara,ILORIN SOUTH/ EAST,1177,"area/ilorin_east/south,_kwara_state","Ilorin East/South, Kwara State"
,,Orumba North/South,Orumba South,Orumba North/Orumba South,Anambra,Orumba North/South,1212,"area/orumba_north/south,_anambra_state","Orumba North/South, Anambra State"
